record_type,adv_id,legal_adviser_name,business_name,crd_number,sec_number,firm_type,registration_status,registration_date,last_adv_filing_date,city,state,country,phone,reported_website,vc_signal_strength,vc_signal_reason,new_to_snapshot,feed_date,source_url,iapd_url,linkedin_company_search_url,linkedin_people_search_url,website_search_url,verification_status,freshness_bucket
adv_signal,adv-344206,"MINDROADS CAPITAL, LLC","MINDROADS CAPITAL, LLC",344206,802-137457,ERA,ACTIVE,2026-09-06,2026-09-06,OCOEE,FL,United States,407 922 5337,https://mindroadscapital.com,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344206,https://www.linkedin.com/search/results/companies/?keywords=MINDROADS+CAPITAL%2C+LLC,https://www.linkedin.com/search/results/people/?keywords=MINDROADS+CAPITAL%2C+LLC+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=MINDROADS+CAPITAL%2C+LLC+venture+capital,unresolved,recent_registration
adv_signal,adv-344401,SYNORA CAPITAL MANAGEMENT LLC,SYNORA CAPITAL MANAGEMENT LLC,344401,802-137445,ERA,ACTIVE,2026-09-04,2026-09-04,,,,781-697-8080,https://synoracapital.com/,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344401,https://www.linkedin.com/search/results/companies/?keywords=SYNORA+CAPITAL+MANAGEMENT+LLC,https://www.linkedin.com/search/results/people/?keywords=SYNORA+CAPITAL+MANAGEMENT+LLC+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=SYNORA+CAPITAL+MANAGEMENT+LLC+venture+capital,unresolved,recent_registration
adv_signal,adv-344440,ADLERBERG CAPITAL LLC,ADLERBERG CAPITAL LLC,344440,802-137455,ERA,ACTIVE,2026-09-04,2026-09-04,GOLDEN,CO,United States,1(303)986-1228,,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344440,https://www.linkedin.com/search/results/companies/?keywords=ADLERBERG+CAPITAL+LLC,https://www.linkedin.com/search/results/people/?keywords=ADLERBERG+CAPITAL+LLC+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=ADLERBERG+CAPITAL+LLC+venture+capital,unresolved,recent_registration
adv_signal,adv-344374,HEADLINE MANAGEMENT LUX S.À.R.L.,HEADLINE MANAGEMENT LUX S.À.R.L.,344374,802-137449,ERA,ACTIVE,2026-09-04,2026-09-04,LUXEMBOURG,,Luxembourg,415-869-5200,HTTP://WWW.Headline.COM,explicit_venture_exemption,Form ADV Item 2.B.(1) says the adviser relies on the venture-capital-fund adviser exemption.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344374,https://www.linkedin.com/search/results/companies/?keywords=HEADLINE+MANAGEMENT+LUX+S.%C3%80.R.L.,https://www.linkedin.com/search/results/people/?keywords=HEADLINE+MANAGEMENT+LUX+S.%C3%80.R.L.+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=HEADLINE+MANAGEMENT+LUX+S.%C3%80.R.L.+venture+capital,unresolved,recent_registration
adv_signal,adv-337543,WINTERBIRD PARTNERS LLC,WINTERBIRD PARTNERS LLC,337543,802-137453,ERA,ACTIVE,2026-09-04,2026-09-04,,,,(617) 468-5406,https://winterbirdpartners.com,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/337543,https://www.linkedin.com/search/results/companies/?keywords=WINTERBIRD+PARTNERS+LLC,https://www.linkedin.com/search/results/people/?keywords=WINTERBIRD+PARTNERS+LLC+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=WINTERBIRD+PARTNERS+LLC+venture+capital,unresolved,recent_registration
adv_signal,adv-344430,FREYAOS AI LTD,FREYAOS AI LTD,344430,802-137454,ERA,ACTIVE,2026-09-04,2026-09-04,DENVER,CO,United States,1(209)585-1637,,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344430,https://www.linkedin.com/search/results/companies/?keywords=FREYAOS+AI+LTD,https://www.linkedin.com/search/results/people/?keywords=FREYAOS+AI+LTD+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=FREYAOS+AI+LTD+venture+capital,unresolved,recent_registration
adv_signal,adv-344393,"ISOGON VENTURES MANAGEMENT, LLC",ISOGON VENTURES,344393,802-137447,ERA,ACTIVE,2026-09-04,2026-09-04,NEW YORK,NY,United States,862-205-4769,https://www.isogonventures.com/,explicit_venture_exemption,Form ADV Item 2.B.(1) says the adviser relies on the venture-capital-fund adviser exemption.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344393,https://www.linkedin.com/search/results/companies/?keywords=ISOGON+VENTURES,https://www.linkedin.com/search/results/people/?keywords=ISOGON+VENTURES+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=ISOGON+VENTURES+venture+capital,unresolved,recent_registration
adv_signal,adv-344192,E20 CAPITAL LIMITED,E20 CAPITAL LIMITED,344192,802-137443,ERA,ACTIVE,2026-09-04,2026-09-04,HONG KONG,,Hong Kong,+852 3504-5205,,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344192,https://www.linkedin.com/search/results/companies/?keywords=E20+CAPITAL+LIMITED,https://www.linkedin.com/search/results/people/?keywords=E20+CAPITAL+LIMITED+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=E20+CAPITAL+LIMITED+venture+capital,unresolved,recent_registration
adv_signal,adv-342995,"UNITED PHYSICIANS CAPITAL MANAGEMENT, LLC",UNITED PHYSICIANS FUND,342995,802-137450,ERA,ACTIVE,2026-09-04,2026-09-04,CLARK,NJ,United States,9084942442,https://UnitedPysiciansFund.com,strategy_unresolved,Private-fund adviser; VC strategy has not been established. Retained for strategy review.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/342995,https://www.linkedin.com/search/results/companies/?keywords=UNITED+PHYSICIANS+FUND,https://www.linkedin.com/search/results/people/?keywords=UNITED+PHYSICIANS+FUND+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=UNITED+PHYSICIANS+FUND+venture+capital,unresolved,recent_registration
adv_signal,adv-344470,LAYER GLOBAL HK ADVISOR LIMITED,LAYER GLOBAL HK ADVISOR LIMITED,344470,802-137452,ERA,ACTIVE,2026-09-04,2026-09-04,"CAUSEWAY BAY, HONG KONG ISLAND",,Hong Kong,+852 2521 3661,http://www.layerglobal.com,explicit_venture_exemption,Form ADV Item 2.B.(1) says the adviser relies on the venture-capital-fund adviser exemption.,no,2026-09-07,https://reports.adviserinfo.sec.gov/reports/CompilationReports/IA_FIRM_SEC_Feed_09_07_2026.xml.gz,https://adviserinfo.sec.gov/firm/summary/344470,https://www.linkedin.com/search/results/companies/?keywords=LAYER+GLOBAL+HK+ADVISOR+LIMITED,https://www.linkedin.com/search/results/people/?keywords=LAYER+GLOBAL+HK+ADVISOR+LIMITED+founder+%22general+partner%22+%22managing+partner%22,https://www.google.com/search?q=LAYER+GLOBAL+HK+ADVISOR+LIMITED+venture+capital,unresolved,recent_registration
