checked,firm_name,name,fund_stage,filer_status,total_filings,filing_date,cik,filing_url
,"American Ventures LLC, Series XXXV NAS","American Ventures LLC, Series XXXV NAS",No fund #,first_filer,1,2026-05-29,0002135547,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002135547&type=D
,U&I Ventures,"U&I Ventures Fund I, L.P.",Fund I,first_filer,1,2026-05-29,0002091891,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002091891&type=D
,JM Equity Venture LLC - Ripple 12,JM Equity Venture LLC - Ripple 12,No fund #,first_filer,1,2026-05-29,0002135702,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002135702&type=D
,Verdant Capital Hybrid,Verdant Capital Hybrid Fund I GmbH & Co. KG,Fund I,first_filer,1,2026-05-29,0002132945,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002132945&type=D
,Menlo Inflection Atlas Partners,"Menlo Inflection Atlas Partners, L.P.",No fund #,first_filer,1,2026-05-28,0002135027,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002135027&type=D
,Snowy Leopard Ventures,"Snowy Leopard Ventures Fund I, LP",Fund I,first_filer,1,2026-05-28,0002135458,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002135458&type=D
,JM Equity Ventures - Kraken1,JM Equity Ventures - Kraken1 LLC,No fund #,first_filer,1,2026-05-28,0002135589,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002135589&type=D
,MQ Partners,MQ Partners LP,No fund #,first_filer,1,2026-05-28,0002133097,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002133097&type=D
,JM Equity Venture LLC - Vast 2,JM Equity Venture LLC - Vast 2 LLC,No fund #,first_filer,1,2026-05-28,0002135591,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002135591&type=D
,JM Equity Venture LLC - Ripple PE 6,JM Equity Venture LLC - Ripple PE 6,No fund #,first_filer,1,2026-05-28,0002135583,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002135583&type=D
,JM Equity Venture LLC - Ripple PE 4,JM Equity Venture LLC - Ripple PE 4 LLC,No fund #,first_filer,1,2026-05-28,0002135585,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002135585&type=D
,Engine Ventures Scale Up,"Engine Ventures Scale Up Fund I, L.P.",Fund I,first_filer,1,2026-05-27,0002134977,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002134977&type=D
,Daybreak Ventures Opportunities 4,"Daybreak Ventures Opportunities 4, LLC",No fund #,first_filer,1,2026-05-27,0002137367,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002137367&type=D
